Experiment_#,[L2M]_0,[D]_0,[L]_0,T_finish,T1/2,Reaction_Extent,Product_Yield,Side_Product_Yield/%
210,2.0000e+00,3.0000e+00,0.0000e+00,5.4204e+02,3.0400e+01,9.9980e+01,8.2700e+01,1.0400e+01
211,2.0000e+00,3.0000e+00,2.5000e+00,4.5354e+03,3.3304e+02,9.9740e+01,8.8200e+01,1.1100e+01
212,2.0000e+00,3.0000e+00,5.0000e+00,7.7627e+03,6.5153e+02,9.9490e+01,8.8200e+01,1.1100e+01
213,2.0000e+00,3.0000e+00,7.5000e+00,1.0568e+04,9.7036e+02,9.9240e+01,8.8000e+01,1.1100e+01
214,2.0000e+00,3.0000e+00,1.0000e+01,1.3099e+04,1.2893e+03,9.8990e+01,8.7900e+01,1.1000e+01
215,2.0000e+00,3.0000e+00,1.2500e+01,1.4400e+04,1.6082e+03,9.8390e+01,8.7400e+01,1.0900e+01
216,2.0000e+00,3.0000e+00,1.5000e+01,1.4400e+04,1.9272e+03,9.7140e+01,8.6400e+01,1.0700e+01
217,2.0000e+00,3.0000e+00,1.7500e+01,1.4400e+04,2.2462e+03,9.5670e+01,8.5100e+01,1.0500e+01
218,2.0000e+00,3.0000e+00,2.0000e+01,1.4400e+04,2.5652e+03,9.4040e+01,8.3800e+01,1.0200e+01
219,2.0000e+00,3.0000e+00,2.2500e+01,1.4400e+04,2.8842e+03,9.2330e+01,8.2300e+01,1.0000e+01
220,2.0000e+00,4.0000e+00,0.0000e+00,4.2241e+02,2.6000e+01,9.9990e+01,8.6000e+01,7.2000e+00
221,2.0000e+00,4.0000e+00,2.5000e+00,3.2325e+03,2.4763e+02,9.9850e+01,9.1800e+01,7.7000e+00
222,2.0000e+00,4.0000e+00,5.0000e+00,5.6010e+03,4.8084e+02,9.9710e+01,9.1800e+01,7.7000e+00
223,2.0000e+00,4.0000e+00,7.5000e+00,7.7091e+03,7.1429e+02,9.9570e+01,9.1700e+01,7.7000e+00
224,2.0000e+00,4.0000e+00,1.0000e+01,9.6462e+03,9.4781e+02,9.9420e+01,9.1700e+01,7.7000e+00
225,2.0000e+00,4.0000e+00,1.2500e+01,1.1456e+04,1.1814e+03,9.9280e+01,9.1500e+01,7.7000e+00
226,2.0000e+00,4.0000e+00,1.5000e+01,1.3164e+04,1.4149e+03,9.9130e+01,9.1400e+01,7.6000e+00
227,2.0000e+00,4.0000e+00,1.7500e+01,1.4400e+04,1.6485e+03,9.8880e+01,9.1200e+01,7.6000e+00
228,2.0000e+00,4.0000e+00,2.0000e+01,1.4400e+04,1.8820e+03,9.8160e+01,9.0600e+01,7.5000e+00
229,2.0000e+00,4.0000e+00,2.2500e+01,1.4400e+04,2.1156e+03,9.7280e+01,8.9800e+01,7.4000e+00
230,2.0000e+00,5.0000e+00,0.0000e+00,3.6317e+02,2.3440e+01,9.9990e+01,8.7700e+01,5.5000e+00
231,2.0000e+00,5.0000e+00,2.5000e+00,2.5298e+03,1.9817e+02,9.9900e+01,9.3600e+01,5.9000e+00
232,2.0000e+00,5.0000e+00,5.0000e+00,4.3979e+03,3.8200e+02,9.9800e+01,9.3700e+01,5.9000e+00
233,2.0000e+00,5.0000e+00,7.5000e+00,6.0810e+03,5.6602e+02,9.9700e+01,9.3700e+01,5.9000e+00
234,2.0000e+00,5.0000e+00,1.0000e+01,7.6419e+03,7.5010e+02,9.9600e+01,9.3600e+01,5.9000e+00
235,2.0000e+00,5.0000e+00,1.2500e+01,9.1113e+03,9.3420e+02,9.9500e+01,9.3600e+01,5.9000e+00
236,2.0000e+00,5.0000e+00,1.5000e+01,1.0508e+04,1.1183e+03,9.9400e+01,9.3500e+01,5.9000e+00
237,2.0000e+00,5.0000e+00,1.7500e+01,1.1844e+04,1.3024e+03,9.9300e+01,9.3400e+01,5.8000e+00
238,2.0000e+00,5.0000e+00,2.0000e+01,1.3128e+04,1.4865e+03,9.9200e+01,9.3300e+01,5.8000e+00
239,2.0000e+00,5.0000e+00,2.2500e+01,1.4366e+04,1.6707e+03,9.9100e+01,9.3200e+01,5.8000e+00
240,2.0000e+00,6.0000e+00,0.0000e+00,3.2830e+02,2.1760e+01,1.0000e+02,8.8700e+01,4.4000e+00
241,2.0000e+00,6.0000e+00,2.5000e+00,2.0942e+03,1.6595e+02,9.9920e+01,9.4800e+01,4.7000e+00
242,2.0000e+00,6.0000e+00,5.0000e+00,3.6398e+03,3.1762e+02,9.9850e+01,9.4900e+01,4.8000e+00
243,2.0000e+00,6.0000e+00,7.5000e+00,5.0430e+03,4.6945e+02,9.9770e+01,9.4900e+01,4.8000e+00
244,2.0000e+00,6.0000e+00,1.0000e+01,6.3517e+03,6.2133e+02,9.9690e+01,9.4800e+01,4.8000e+00
245,2.0000e+00,6.0000e+00,1.2500e+01,7.5896e+03,7.7323e+02,9.9620e+01,9.4800e+01,4.7000e+00
246,2.0000e+00,6.0000e+00,1.5000e+01,8.7710e+03,9.2513e+02,9.9540e+01,9.4700e+01,4.7000e+00
247,2.0000e+00,6.0000e+00,1.7500e+01,9.9051e+03,1.0770e+03,9.9470e+01,9.4700e+01,4.7000e+00
248,2.0000e+00,6.0000e+00,2.0000e+01,1.0999e+04,1.2290e+03,9.9390e+01,9.4600e+01,4.7000e+00
249,2.0000e+00,6.0000e+00,2.2500e+01,1.2057e+04,1.3809e+03,9.9310e+01,9.4500e+01,4.7000e+00
250,2.0000e+00,7.0000e+00,0.0000e+00,3.0544e+02,2.0580e+01,1.0000e+02,8.9400e+01,3.7000e+00
251,2.0000e+00,7.0000e+00,2.5000e+00,1.7979e+03,1.4330e+02,9.9940e+01,9.5500e+01,4.0000e+00
252,2.0000e+00,7.0000e+00,5.0000e+00,3.1188e+03,2.7237e+02,9.9880e+01,9.5700e+01,4.0000e+00
253,2.0000e+00,7.0000e+00,7.5000e+00,4.3245e+03,4.0159e+02,9.9820e+01,9.5700e+01,4.0000e+00
254,2.0000e+00,7.0000e+00,1.0000e+01,5.4535e+03,5.3084e+02,9.9750e+01,9.5700e+01,4.0000e+00
255,2.0000e+00,7.0000e+00,1.2500e+01,6.5249e+03,6.6011e+02,9.9690e+01,9.5600e+01,4.0000e+00
256,2.0000e+00,7.0000e+00,1.5000e+01,7.5502e+03,7.8938e+02,9.9630e+01,9.5600e+01,4.0000e+00
257,2.0000e+00,7.0000e+00,1.7500e+01,8.5371e+03,9.1866e+02,9.9570e+01,9.5500e+01,4.0000e+00
258,2.0000e+00,7.0000e+00,2.0000e+01,9.4910e+03,1.0479e+03,9.9510e+01,9.5500e+01,4.0000e+00
259,2.0000e+00,7.0000e+00,2.2500e+01,1.0416e+04,1.1772e+03,9.9450e+01,9.5400e+01,4.0000e+00
260,2.0000e+00,8.0000e+00,0.0000e+00,2.8934e+02,1.9710e+01,1.0000e+02,8.9900e+01,3.2000e+00
261,2.0000e+00,8.0000e+00,2.5000e+00,1.5832e+03,1.2652e+02,9.9950e+01,9.6100e+01,3.4000e+00
262,2.0000e+00,8.0000e+00,5.0000e+00,2.7385e+03,2.3885e+02,9.9900e+01,9.6300e+01,3.4000e+00
263,2.0000e+00,8.0000e+00,7.5000e+00,3.7974e+03,3.5131e+02,9.9850e+01,9.6300e+01,3.4000e+00
264,2.0000e+00,8.0000e+00,1.0000e+01,4.7919e+03,4.6379e+02,9.9790e+01,9.6200e+01,3.4000e+00
265,2.0000e+00,8.0000e+00,1.2500e+01,5.7379e+03,5.7629e+02,9.9740e+01,9.6200e+01,3.4000e+00
266,2.0000e+00,8.0000e+00,1.5000e+01,6.6451e+03,6.8880e+02,9.9690e+01,9.6200e+01,3.4000e+00
267,2.0000e+00,8.0000e+00,1.7500e+01,7.5199e+03,8.0131e+02,9.9640e+01,9.6100e+01,3.4000e+00
268,2.0000e+00,8.0000e+00,2.0000e+01,8.3670e+03,9.1382e+02,9.9590e+01,9.6100e+01,3.4000e+00
269,2.0000e+00,8.0000e+00,2.2500e+01,9.1897e+03,1.0263e+03,9.9540e+01,9.6100e+01,3.4000e+00
270,2.0000e+00,9.0000e+00,0.0000e+00,2.7740e+02,1.9030e+01,1.0000e+02,9.0300e+01,2.8000e+00
271,2.0000e+00,9.0000e+00,2.5000e+00,1.4204e+03,1.1359e+02,9.9960e+01,9.6500e+01,3.0000e+00
272,2.0000e+00,9.0000e+00,5.0000e+00,2.4484e+03,2.1302e+02,9.9910e+01,9.6700e+01,3.0000e+00
273,2.0000e+00,9.0000e+00,7.5000e+00,3.3937e+03,3.1256e+02,9.9870e+01,9.6700e+01,3.0000e+00
274,2.0000e+00,9.0000e+00,1.0000e+01,4.2836e+03,4.1212e+02,9.9820e+01,9.6700e+01,3.0000e+00
275,2.0000e+00,9.0000e+00,1.2500e+01,5.1318e+03,5.1170e+02,9.9780e+01,9.6700e+01,3.0000e+00
276,2.0000e+00,9.0000e+00,1.5000e+01,5.9466e+03,6.1129e+02,9.9730e+01,9.6600e+01,3.0000e+00
277,2.0000e+00,9.0000e+00,1.7500e+01,6.7333e+03,7.1088e+02,9.9690e+01,9.6600e+01,3.0000e+00
278,2.0000e+00,9.0000e+00,2.0000e+01,7.4961e+03,8.1047e+02,9.9650e+01,9.6600e+01,3.0000e+00
279,2.0000e+00,9.0000e+00,2.2500e+01,8.2379e+03,9.1006e+02,9.9600e+01,9.6500e+01,3.0000e+00
280,2.0000e+00,1.0000e+01,0.0000e+00,2.6820e+02,1.8490e+01,1.0000e+02,9.0600e+01,2.5000e+00
281,2.0000e+00,1.0000e+01,2.5000e+00,1.2925e+03,1.0332e+02,9.9960e+01,9.6900e+01,2.7000e+00
282,2.0000e+00,1.0000e+01,5.0000e+00,2.2195e+03,1.9250e+02,9.9920e+01,9.7000e+01,2.7000e+00
283,2.0000e+00,1.0000e+01,7.5000e+00,3.0743e+03,2.8178e+02,9.9880e+01,9.7000e+01,2.7000e+00
284,2.0000e+00,1.0000e+01,1.0000e+01,3.8806e+03,3.7109e+02,9.9840e+01,9.7000e+01,2.7000e+00
285,2.0000e+00,1.0000e+01,1.2500e+01,4.6502e+03,4.6041e+02,9.9810e+01,9.7000e+01,2.7000e+00
286,2.0000e+00,1.0000e+01,1.5000e+01,5.3905e+03,5.4974e+02,9.9770e+01,9.7000e+01,2.7000e+00
287,2.0000e+00,1.0000e+01,1.7500e+01,6.1062e+03,6.3906e+02,9.9730e+01,9.7000e+01,2.7000e+00
288,2.0000e+00,1.0000e+01,2.0000e+01,6.8008e+03,7.2839e+02,9.9690e+01,9.6900e+01,2.7000e+00
289,2.0000e+00,1.0000e+01,2.2500e+01,7.4769e+03,8.1772e+02,9.9650e+01,9.6900e+01,2.7000e+00
290,2.0000e+00,1.1000e+01,0.0000e+00,2.6091e+02,1.8050e+01,1.0000e+02,9.0900e+01,2.3000e+00
291,2.0000e+00,1.1000e+01,2.5000e+00,1.1894e+03,9.4960e+01,9.9970e+01,9.7100e+01,2.4000e+00
292,2.0000e+00,1.1000e+01,5.0000e+00,2.0342e+03,1.7581e+02,9.9930e+01,9.7300e+01,2.4000e+00
293,2.0000e+00,1.1000e+01,7.5000e+00,2.8150e+03,2.5676e+02,9.9900e+01,9.7300e+01,2.4000e+00
294,2.0000e+00,1.1000e+01,1.0000e+01,3.5528e+03,3.3772e+02,9.9860e+01,9.7300e+01,2.4000e+00
295,2.0000e+00,1.1000e+01,1.2500e+01,4.2579e+03,4.1870e+02,9.9830e+01,9.7300e+01,2.4000e+00
296,2.0000e+00,1.1000e+01,1.5000e+01,4.9369e+03,4.9968e+02,9.9790e+01,9.7300e+01,2.4000e+00
297,2.0000e+00,1.1000e+01,1.7500e+01,5.5940e+03,5.8066e+02,9.9760e+01,9.7300e+01,2.4000e+00
298,2.0000e+00,1.1000e+01,2.0000e+01,6.2323e+03,6.6164e+02,9.9720e+01,9.7200e+01,2.4000e+00
299,2.0000e+00,1.1000e+01,2.2500e+01,6.8541e+03,7.4263e+02,9.9690e+01,9.7200e+01,2.4000e+00
300,2.5000e+00,2.5000e+00,0.0000e+00,9.0882e+02,3.8010e+01,9.9960e+01,7.7500e+01,1.6400e+01
301,2.5000e+00,2.5000e+00,2.5000e+00,7.2471e+03,4.3030e+02,9.9430e+01,8.1900e+01,1.7200e+01
302,2.5000e+00,2.5000e+00,5.0000e+00,1.1936e+04,8.4561e+02,9.8890e+01,8.1700e+01,1.7000e+01
303,2.5000e+00,2.5000e+00,7.5000e+00,1.4400e+04,1.2615e+03,9.7880e+01,8.1100e+01,1.6700e+01
304,2.5000e+00,2.5000e+00,1.0000e+01,1.4400e+04,1.6775e+03,9.5730e+01,7.9700e+01,1.6000e+01
305,2.5000e+00,2.5000e+00,1.2500e+01,1.4400e+04,2.0935e+03,9.3350e+01,7.8100e+01,1.5200e+01
306,2.5000e+00,2.5000e+00,1.5000e+01,1.4400e+04,2.5096e+03,9.0920e+01,7.6400e+01,1.4500e+01
307,2.5000e+00,2.5000e+00,1.7500e+01,1.4400e+04,2.9257e+03,8.8530e+01,7.4700e+01,1.3800e+01
308,2.5000e+00,2.5000e+00,2.0000e+01,1.4400e+04,3.3418e+03,8.6210e+01,7.3000e+01,1.3100e+01
309,2.5000e+00,2.5000e+00,2.2500e+01,1.4400e+04,3.7579e+03,8.3970e+01,7.1400e+01,1.2500e+01
310,2.5000e+00,3.7500e+00,0.0000e+00,5.4045e+02,2.9120e+01,9.9990e+01,8.5100e+01,8.7000e+00
311,2.5000e+00,3.7500e+00,2.5000e+00,4.1503e+03,2.7520e+02,9.9830e+01,9.0200e+01,9.2000e+00
312,2.5000e+00,3.7500e+00,5.0000e+00,7.1534e+03,5.3566e+02,9.9660e+01,9.0200e+01,9.2000e+00
313,2.5000e+00,3.7500e+00,7.5000e+00,9.7969e+03,7.9649e+02,9.9500e+01,9.0200e+01,9.2000e+00
314,2.5000e+00,3.7500e+00,1.0000e+01,1.2205e+04,1.0574e+03,9.9330e+01,9.0000e+01,9.2000e+00
315,2.5000e+00,3.7500e+00,1.2500e+01,1.4400e+04,1.3183e+03,9.9160e+01,8.9900e+01,9.2000e+00
316,2.5000e+00,3.7500e+00,1.5000e+01,1.4400e+04,1.5793e+03,9.8350e+01,8.9200e+01,9.0000e+00
317,2.5000e+00,3.7500e+00,1.7500e+01,1.4400e+04,1.8403e+03,9.7330e+01,8.8400e+01,8.9000e+00
318,2.5000e+00,3.7500e+00,2.0000e+01,1.4400e+04,2.1012e+03,9.6150e+01,8.7400e+01,8.7000e+00
319,2.5000e+00,3.7500e+00,2.2500e+01,1.4400e+04,2.3622e+03,9.4850e+01,8.6200e+01,8.6000e+00
320,2.5000e+00,5.0000e+00,0.0000e+00,4.1679e+02,2.4990e+01,9.9990e+01,8.7900e+01,5.9000e+00
321,2.5000e+00,5.0000e+00,2.5000e+00,2.8800e+03,2.0397e+02,9.9910e+01,9.3200e+01,6.3000e+00
322,2.5000e+00,5.0000e+00,5.0000e+00,5.0106e+03,3.9340e+02,9.9810e+01,9.3300e+01,6.3000e+00
323,2.5000e+00,5.0000e+00,7.5000e+00,6.9272e+03,5.8308e+02,9.9720e+01,9.3300e+01,6.3000e+00
324,2.5000e+00,5.0000e+00,1.0000e+01,8.7023e+03,7.7283e+02,9.9630e+01,9.3200e+01,6.3000e+00
325,2.5000e+00,5.0000e+00,1.2500e+01,1.0372e+04,9.6260e+02,9.9530e+01,9.3200e+01,6.3000e+00
326,2.5000e+00,5.0000e+00,1.5000e+01,1.1957e+04,1.1524e+03,9.9440e+01,9.3100e+01,6.3000e+00
327,2.5000e+00,5.0000e+00,1.7500e+01,1.3472e+04,1.3422e+03,9.9350e+01,9.3000e+01,6.3000e+00
328,2.5000e+00,5.0000e+00,2.0000e+01,1.4400e+04,1.5320e+03,9.9130e+01,9.2800e+01,6.2000e+00
329,2.5000e+00,5.0000e+00,2.2500e+01,1.4400e+04,1.7218e+03,9.8610e+01,9.2400e+01,6.2000e+00
330,2.5000e+00,6.2500e+00,0.0000e+00,3.5832e+02,2.2610e+01,1.0000e+02,8.9400e+01,4.5000e+00
331,2.5000e+00,6.2500e+00,2.5000e+00,2.2298e+03,1.6320e+02,9.9940e+01,9.4800e+01,4.8000e+00
332,2.5000e+00,6.2500e+00,5.0000e+00,3.8828e+03,3.1197e+02,9.9870e+01,9.4900e+01,4.8000e+00
333,2.5000e+00,6.2500e+00,7.5000e+00,5.3858e+03,4.6095e+02,9.9810e+01,9.4900e+01,4.8000e+00
334,2.5000e+00,6.2500e+00,1.0000e+01,6.7893e+03,6.0997e+02,9.9740e+01,9.4900e+01,4.8000e+00
335,2.5000e+00,6.2500e+00,1.2500e+01,8.1181e+03,7.5902e+02,9.9680e+01,9.4800e+01,4.8000e+00
336,2.5000e+00,6.2500e+00,1.5000e+01,9.3873e+03,9.0807e+02,9.9610e+01,9.4800e+01,4.8000e+00
337,2.5000e+00,6.2500e+00,1.7500e+01,1.0607e+04,1.0571e+03,9.9550e+01,9.4700e+01,4.8000e+00
338,2.5000e+00,6.2500e+00,2.0000e+01,1.1784e+04,1.2062e+03,9.9490e+01,9.4700e+01,4.8000e+00
339,2.5000e+00,6.2500e+00,2.2500e+01,1.2923e+04,1.3553e+03,9.9420e+01,9.4600e+01,4.8000e+00
340,2.5000e+00,7.5000e+00,0.0000e+00,3.2463e+02,2.1060e+01,1.0000e+02,9.0200e+01,3.6000e+00
341,2.5000e+00,7.5000e+00,2.5000e+00,1.8368e+03,1.3681e+02,9.9950e+01,9.5700e+01,3.8000e+00
342,2.5000e+00,7.5000e+00,5.0000e+00,3.1911e+03,2.5928e+02,9.9900e+01,9.5800e+01,3.9000e+00
343,2.5000e+00,7.5000e+00,7.5000e+00,4.4310e+03,3.8191e+02,9.9850e+01,9.5900e+01,3.9000e+00
344,2.5000e+00,7.5000e+00,1.0000e+01,5.5946e+03,5.0459e+02,9.9800e+01,9.5800e+01,3.9000e+00
345,2.5000e+00,7.5000e+00,1.2500e+01,6.7007e+03,6.2728e+02,9.9760e+01,9.5800e+01,3.8000e+00
346,2.5000e+00,7.5000e+00,1.5000e+01,7.7609e+03,7.4998e+02,9.9710e+01,9.5800e+01,3.8000e+00
347,2.5000e+00,7.5000e+00,1.7500e+01,8.7829e+03,8.7269e+02,9.9660e+01,9.5800e+01,3.8000e+00
348,2.5000e+00,7.5000e+00,2.0000e+01,9.7719e+03,9.9539e+02,9.9610e+01,9.5700e+01,3.8000e+00
349,2.5000e+00,7.5000e+00,2.2500e+01,1.0732e+04,1.1181e+03,9.9560e+01,9.5700e+01,3.8000e+00
350,2.5000e+00,8.7500e+00,0.0000e+00,3.0281e+02,1.9970e+01,1.0000e+02,9.0800e+01,3.0000e+00
351,2.5000e+00,8.7500e+00,2.5000e+00,1.5736e+03,1.1834e+02,9.9960e+01,9.6300e+01,3.2000e+00
352,2.5000e+00,8.7500e+00,5.0000e+00,2.7234e+03,2.2240e+02,9.9920e+01,9.6500e+01,3.2000e+00
353,2.5000e+00,8.7500e+00,7.5000e+00,3.7812e+03,3.2660e+02,9.9880e+01,9.6500e+01,3.2000e+00
354,2.5000e+00,8.7500e+00,1.0000e+01,4.7774e+03,4.3084e+02,9.9840e+01,9.6500e+01,3.2000e+00
355,2.5000e+00,8.7500e+00,1.2500e+01,5.7272e+03,5.3509e+02,9.9800e+01,9.6500e+01,3.2000e+00
356,2.5000e+00,8.7500e+00,1.5000e+01,6.6397e+03,6.3935e+02,9.9760e+01,9.6500e+01,3.2000e+00
357,2.5000e+00,8.7500e+00,1.7500e+01,7.5211e+03,7.4361e+02,9.9720e+01,9.6400e+01,3.2000e+00
358,2.5000e+00,8.7500e+00,2.0000e+01,8.3759e+03,8.4788e+02,9.9690e+01,9.6400e+01,3.2000e+00
359,2.5000e+00,8.7500e+00,2.2500e+01,9.2073e+03,9.5215e+02,9.9650e+01,9.6400e+01,3.2000e+00
360,2.5000e+00,1.0000e+01,0.0000e+00,2.8756e+02,1.9170e+01,1.0000e+02,9.1300e+01,2.6000e+00
361,2.5000e+00,1.0000e+01,2.5000e+00,1.3847e+03,1.0469e+02,9.9970e+01,9.6800e+01,2.8000e+00
362,2.5000e+00,1.0000e+01,5.0000e+00,2.3855e+03,1.9515e+02,9.9930e+01,9.7000e+01,2.8000e+00
363,2.5000e+00,1.0000e+01,7.5000e+00,3.3098e+03,2.8573e+02,9.9900e+01,9.7000e+01,2.8000e+00
364,2.5000e+00,1.0000e+01,1.0000e+01,4.1825e+03,3.7635e+02,9.9870e+01,9.7000e+01,2.8000e+00
365,2.5000e+00,1.0000e+01,1.2500e+01,5.0163e+03,4.6698e+02,9.9840e+01,9.7000e+01,2.8000e+00
366,2.5000e+00,1.0000e+01,1.5000e+01,5.8188e+03,5.5761e+02,9.9800e+01,9.7000e+01,2.8000e+00
367,2.5000e+00,1.0000e+01,1.7500e+01,6.5953e+03,6.4825e+02,9.9770e+01,9.6900e+01,2.8000e+00
368,2.5000e+00,1.0000e+01,2.0000e+01,7.3493e+03,7.3889e+02,9.9740e+01,9.6900e+01,2.8000e+00
369,2.5000e+00,1.0000e+01,2.2500e+01,8.0837e+03,8.2953e+02,9.9700e+01,9.6900e+01,2.8000e+00
370,2.5000e+00,1.1250e+01,0.0000e+00,2.7630e+02,1.8550e+01,1.0000e+02,9.1600e+01,2.3000e+00
371,2.5000e+00,1.1250e+01,2.5000e+00,1.2423e+03,9.4200e+01,9.9970e+01,9.7100e+01,2.4000e+00
372,2.5000e+00,1.1250e+01,5.0000e+00,2.1297e+03,1.7420e+02,9.9940e+01,9.7300e+01,2.4000e+00
373,2.5000e+00,1.1250e+01,7.5000e+00,2.9517e+03,2.5431e+02,9.9920e+01,9.7300e+01,2.4000e+00
374,2.5000e+00,1.1250e+01,1.0000e+01,3.7293e+03,3.3445e+02,9.9890e+01,9.7300e+01,2.4000e+00
375,2.5000e+00,1.1250e+01,1.2500e+01,4.4736e+03,4.1460e+02,9.9860e+01,9.7300e+01,2.4000e+00
376,2.5000e+00,1.1250e+01,1.5000e+01,5.1910e+03,4.9476e+02,9.9830e+01,9.7300e+01,2.4000e+00
377,2.5000e+00,1.1250e+01,1.7500e+01,5.8859e+03,5.7491e+02,9.9800e+01,9.7300e+01,2.4000e+00
378,2.5000e+00,1.1250e+01,2.0000e+01,6.5616e+03,6.5508e+02,9.9770e+01,9.7300e+01,2.4000e+00
379,2.5000e+00,1.1250e+01,2.2500e+01,7.2203e+03,7.3524e+02,9.9750e+01,9.7300e+01,2.4000e+00
380,2.5000e+00,1.2500e+01,0.0000e+00,2.6767e+02,1.8050e+01,1.0000e+02,9.1800e+01,2.0000e+00
381,2.5000e+00,1.2500e+01,2.5000e+00,1.1312e+03,8.5880e+01,9.9980e+01,9.7400e+01,2.2000e+00
382,2.5000e+00,1.2500e+01,5.0000e+00,1.9290e+03,1.5759e+02,9.9950e+01,9.7600e+01,2.2000e+00
383,2.5000e+00,1.2500e+01,7.5000e+00,2.6699e+03,2.2939e+02,9.9930e+01,9.7600e+01,2.2000e+00
384,2.5000e+00,1.2500e+01,1.0000e+01,3.3722e+03,3.0123e+02,9.9900e+01,9.7600e+01,2.2000e+00
385,2.5000e+00,1.2500e+01,1.2500e+01,4.0452e+03,3.7307e+02,9.9880e+01,9.7600e+01,2.2000e+00
386,2.5000e+00,1.2500e+01,1.5000e+01,4.6946e+03,4.4492e+02,9.9850e+01,9.7600e+01,2.2000e+00
387,2.5000e+00,1.2500e+01,1.7500e+01,5.3244e+03,5.1677e+02,9.9830e+01,9.7600e+01,2.2000e+00
388,2.5000e+00,1.2500e+01,2.0000e+01,5.9372e+03,5.8863e+02,9.9800e+01,9.7600e+01,2.2000e+00
389,2.5000e+00,1.2500e+01,2.2500e+01,6.5351e+03,6.6048e+02,9.9780e+01,9.7600e+01,2.2000e+00
390,2.5000e+00,1.3750e+01,0.0000e+00,2.6083e+02,1.7670e+01,1.0000e+02,9.2000e+01,1.8000e+00
391,2.5000e+00,1.3750e+01,2.5000e+00,1.0419e+03,7.9120e+01,9.9980e+01,9.7600e+01,2.0000e+00
392,2.5000e+00,1.3750e+01,5.0000e+00,1.7673e+03,1.4409e+02,9.9960e+01,9.7800e+01,2.0000e+00
393,2.5000e+00,1.3750e+01,7.5000e+00,2.4423e+03,2.0916e+02,9.9930e+01,9.7800e+01,2.0000e+00
394,2.5000e+00,1.3750e+01,1.0000e+01,3.0831e+03,2.7424e+02,9.9910e+01,9.7800e+01,2.0000e+00
395,2.5000e+00,1.3750e+01,1.2500e+01,3.6979e+03,3.3934e+02,9.9890e+01,9.7800e+01,2.0000e+00
396,2.5000e+00,1.3750e+01,1.5000e+01,4.2918e+03,4.0444e+02,9.9870e+01,9.7800e+01,2.0000e+00
397,2.5000e+00,1.3750e+01,1.7500e+01,4.8682e+03,4.6955e+02,9.9850e+01,9.7800e+01,2.0000e+00
398,2.5000e+00,1.3750e+01,2.0000e+01,5.4295e+03,5.3466e+02,9.9820e+01,9.7800e+01,2.0000e+00
399,2.5000e+00,1.3750e+01,2.2500e+01,5.9776e+03,5.9976e+02,9.9800e+01,9.7800e+01,2.0000e+00
400,3.0000e+00,3.0000e+00,0.0000e+00,9.5508e+02,3.6670e+01,9.9970e+01,7.9700e+01,1.4600e+01
401,3.0000e+00,3.0000e+00,2.5000e+00,7.1816e+03,3.7071e+02,9.9560e+01,8.3800e+01,1.5300e+01
402,3.0000e+00,3.0000e+00,5.0000e+00,1.1882e+04,7.2619e+02,9.9130e+01,8.3700e+01,1.5200e+01
403,3.0000e+00,3.0000e+00,7.5000e+00,1.4400e+04,1.0822e+03,9.8320e+01,8.3300e+01,1.4900e+01
404,3.0000e+00,3.0000e+00,1.0000e+01,1.4400e+04,1.4384e+03,9.6530e+01,8.2100e+01,1.4300e+01
405,3.0000e+00,3.0000e+00,1.2500e+01,1.4400e+04,1.7947e+03,9.4510e+01,8.0700e+01,1.3700e+01
406,3.0000e+00,3.0000e+00,1.5000e+01,1.4400e+04,2.1510e+03,9.2410e+01,7.9200e+01,1.3100e+01
407,3.0000e+00,3.0000e+00,1.7500e+01,1.4400e+04,2.5073e+03,9.0320e+01,7.7700e+01,1.2500e+01
408,3.0000e+00,3.0000e+00,2.0000e+01,1.4400e+04,2.8636e+03,8.8270e+01,7.6200e+01,1.2000e+01
409,3.0000e+00,3.0000e+00,2.2500e+01,1.4400e+04,3.2199e+03,8.6280e+01,7.4800e+01,1.1500e+01
410,3.0000e+00,4.5000e+00,0.0000e+00,5.3709e+02,2.8100e+01,9.9990e+01,8.6900e+01,7.5000e+00
411,3.0000e+00,4.5000e+00,2.5000e+00,3.8323e+03,2.3518e+02,9.9880e+01,9.1600e+01,7.9000e+00
412,3.0000e+00,4.5000e+00,5.0000e+00,6.6358e+03,4.5551e+02,9.9760e+01,9.1700e+01,7.9000e+00
413,3.0000e+00,4.5000e+00,7.5000e+00,9.1264e+03,6.7619e+02,9.9640e+01,9.1600e+01,7.9000e+00
414,3.0000e+00,4.5000e+00,1.0000e+01,1.1411e+04,8.9696e+02,9.9520e+01,9.1600e+01,7.9000e+00
415,3.0000e+00,4.5000e+00,1.2500e+01,1.3544e+04,1.1178e+03,9.9410e+01,9.1500e+01,7.8000e+00
416,3.0000e+00,4.5000e+00,1.5000e+01,1.4400e+04,1.3386e+03,9.9030e+01,9.1200e+01,7.8000e+00
417,3.0000e+00,4.5000e+00,1.7500e+01,1.4400e+04,1.5594e+03,9.8320e+01,9.0500e+01,7.7000e+00
418,3.0000e+00,4.5000e+00,2.0000e+01,1.4400e+04,1.7803e+03,9.7450e+01,8.9800e+01,7.6000e+00
419,3.0000e+00,4.5000e+00,2.2500e+01,1.4400e+04,2.0011e+03,9.6460e+01,8.8900e+01,7.5000e+00
420,3.0000e+00,6.0000e+00,0.0000e+00,4.1154e+02,2.4190e+01,1.0000e+02,8.9300e+01,5.0000e+00
